,subject_id_within_expert_type,trial_name,trial_nr,rating,rt,trial_name_number,trial_name_as_jittered_number,subject_id
1,5,a,1,-42,11.619641065597534,0.0,0.01379964747826299,15
2,5,b,2,-93,13.619619846343994,1.0,0.7064210974812843,15
0,5,c,0,-100,9.369319915771484,2.0,1.9760456731559342,15
2,12,a,2,23,9.594367980957033,0.0,0.09755235821075398,22
1,12,b,1,-22,11.369473934173586,1.0,0.8408399346067176,22
0,12,c,0,16,13.986377954483032,2.0,2.0422633229001557,22
2,7,a,2,-23,22.067471981048584,0.0,-0.0277761085742118,17
1,7,b,1,-48,16.16697096824646,1.0,0.935909275724389,17
0,7,c,0,10,17.328994035720825,2.0,2.000046483871161,17
2,1,a,2,-23,22.018930912017822,0.0,0.06725586785638504,11
1,1,b,1,-76,16.577051877975464,1.0,1.0036836617496536,11
0,1,c,0,41,18.46044206619263,2.0,1.9462814991760375,11
1,2,a,1,-2,5.9360289573669425,0.0,-0.022635455311841052,12
2,2,b,2,-95,3.802304983139038,1.0,0.9044671415384233,12
0,2,c,0,-100,18.303253173828125,2.0,1.9139788566706504,12
0,6,a,0,-13,50.921995878219604,0.0,0.06369306215128165,16
1,6,b,1,-13,10.936040878295898,1.0,1.2298152790432502,16
2,6,c,2,-15,9.119479894638063,2.0,2.0227722725327153,16
1,11,a,1,-57,15.89454197883606,0.0,-0.0761566966852186,21
0,11,b,0,-78,21.29508781433105,1.0,0.8318888327190916,21
2,11,c,2,-63,14.761355876922607,2.0,2.069073244948181,21
2,13,a,2,-20,9.335702896118164,0.0,-0.24386268939543304,23
0,13,b,0,46,17.36975383758545,1.0,1.021399741246816,23
1,13,c,1,19,7.4107139110565186,2.0,2.016238505067247,23
0,8,a,0,-12,16.528104066848755,0.0,-0.13870949380391648,18
2,8,b,2,16,8.135864973068237,1.0,1.016064652650018,18
1,8,c,1,-23,6.8606510162353525,2.0,1.9868192960109856,18
2,9,a,2,-100,3.0437979698181152,0.0,-0.017910465387968772,19
0,9,b,0,-100,7.152554988861084,1.0,0.8917423989614957,19
1,9,c,1,100,3.01054310798645,2.0,2.1731921548566624,19
1,10,a,1,-27,7.544173002243043,0.0,-0.078000094125022,20
2,10,b,2,-37,7.419083118438722,1.0,1.0142859649707228,20
0,10,c,0,12,17.603311061859127,2.0,2.208888769372943,20
0,3,a,0,-53,33.320940017700195,0.0,-0.08173821925519031,13
2,3,b,2,-76,26.287184000015262,1.0,1.020786368792923,13
1,3,c,1,-42,45.81367301940918,2.0,1.9435616179090702,13
2,4,a,2,-28,31.98753595352173,0.0,-0.02539656178721239,14
1,4,b,1,11,15.278170108795164,1.0,0.8768601544370069,14
0,4,c,0,-31,46.605486154556274,2.0,2.0816692986437375,14
1,5,a,1,32,7.477702856063843,0.0,-0.24843669455688674,5
2,5,b,2,15,9.243901968002321,1.0,0.9352938147369155,5
0,5,c,0,-60,7.119231939315796,2.0,1.9023261738851376,5
2,7,a,2,-27,24.645331859588623,0.0,0.04286412919044383,7
1,7,b,1,-90,11.519543170928955,1.0,0.9317649360715944,7
0,7,c,0,-44,25.920531034469604,2.0,1.9952459769158273,7
2,1,a,2,30,19.261703014373783,0.0,0.06564066596844813,1
1,1,b,1,20,18.269980907440182,1.0,1.0799649813962604,1
0,1,c,0,49,22.903759956359863,2.0,1.7433408663344623,1
1,2,a,1,29,22.82837510108948,0.0,0.09375467734131972,2
2,2,b,2,-17,23.04539394378662,1.0,0.8192225981194475,2
0,2,c,0,12,28.87907385826111,2.0,1.9290175589423746,2
0,6,a,0,33,26.045734167099,0.0,0.12069092916881463,6
1,6,b,1,7,33.220988988876336,1.0,0.926961105816586,6
2,6,c,2,54,52.163800954818726,2.0,1.9633324005132187,6
0,8,a,0,49,15.486438989639282,0.0,0.05958325022986404,8
2,8,b,2,-19,21.920371055603027,1.0,1.0108396919441034,8
1,8,c,1,-58,17.21999716758728,2.0,2.119415744916987,8
2,9,a,2,-15,20.761752843856808,0.0,-0.11669985461505022,9
0,9,b,0,1,19.461793899536133,1.0,0.9791574455450611,9
1,9,c,1,-28,20.97835803031921,2.0,2.13125334837307,9
1,10,a,1,-32,9.560952901840212,0.0,0.05853613665081189,10
2,10,b,2,-92,8.661134004592897,1.0,1.1368450690500838,10
0,10,c,0,-93,17.386868000030518,2.0,2.1251695963507644,10
0,3,a,0,54,10.0693941116333,0.0,-0.13080815236547508,3
2,3,b,2,29,14.861305952072144,1.0,0.7844293414125464,3
1,3,c,1,58,10.369508981704714,2.0,2.0430778538051872,3
2,4,a,2,64,19.036836862564087,0.0,-0.07521227723852418,4
1,4,b,1,46,23.536893129348755,1.0,1.0335491695068169,4
0,4,c,0,54,39.638056993484504,2.0,1.8591716939809044,4
