,subject_id_within_expert_type,trial_nr,block_nr,batch_block,instr_type,trial_type,instruction_grid_mode,n_instruction_patches,catch_trial,batch,layer,kernel_size,channel,query_order,correct,conf_rating,RT,timeout,response,correct_response,query_image_a,query_image_b,old_trial_nr,old_block_nr,seed,unit_name,condition_name,abs_conf_rating,subject_id,expert_level
0,5,0,0,f,optimized,practice,max_max,1,False,0,layer_6,1,channel_0,max_min,True,-2,5.351328134536743,False,a,a,../stimuli_ablation_study_September_2_stimuli/batch_block_f/channel/sampled_trials/layer_6/kernel_size_1/channel_0/natural_images/batch_0/max_1.png,../stimuli_ablation_study_September_2_stimuli/batch_block_f/channel/sampled_trials/layer_6/kernel_size_1/channel_0/natural_images/batch_0/min_0.png,,,42,"4e, 3x3 ",Max-1,2,5,expert
1,5,1,0,f,optimized,practice,max_max,1,False,0,layer_0,3,channel_0,max_min,True,-2,1.8611192703247068,False,a,a,../stimuli_ablation_study_September_2_stimuli/batch_block_f/channel/sampled_trials/layer_0/kernel_size_3/channel_0/natural_images/batch_0/max_1.png,../stimuli_ablation_study_September_2_stimuli/batch_block_f/channel/sampled_trials/layer_0/kernel_size_3/channel_0/natural_images/batch_0/min_0.png,,,42,"3a, P ",Max-1,2,5,expert
2,5,2,0,f,optimized,practice,max_max,1,False,0,layer_2,1,channel_0,max_min,True,-3,3.387986183166504,False,a,a,../stimuli_ablation_study_September_2_stimuli/batch_block_f/channel/sampled_trials/layer_2/kernel_size_1/channel_0/natural_images/batch_0/max_1.png,../stimuli_ablation_study_September_2_stimuli/batch_block_f/channel/sampled_trials/layer_2/kernel_size_1/channel_0/natural_images/batch_0/min_0.png,,,42,"4a, 3x3 ",Max-1,3,5,expert
3,5,3,1,g,natural,practice,max_max,1,False,0,layer_6,1,channel_0,max_min,True,-2,1.9468002319335935,False,a,a,../stimuli_ablation_study_September_2_stimuli/batch_block_g/channel/sampled_trials/layer_6/kernel_size_1/channel_0/natural_images/batch_0/max_1.png,../stimuli_ablation_study_September_2_stimuli/batch_block_g/channel/sampled_trials/layer_6/kernel_size_1/channel_0/natural_images/batch_0/min_0.png,,,42,"4e, 3x3 ",Max-1,2,5,expert
4,5,4,1,g,natural,practice,max_max,1,False,0,layer_0,0,channel_0,min_max,False,-1,6.206623077392577,False,a,b,../stimuli_ablation_study_September_2_stimuli/batch_block_g/channel/sampled_trials/layer_0/kernel_size_0/channel_0/natural_images/batch_0/min_0.png,../stimuli_ablation_study_September_2_stimuli/batch_block_g/channel/sampled_trials/layer_0/kernel_size_0/channel_0/natural_images/batch_0/max_1.png,,,42,"3a, 1x1 ",Max-1,1,5,expert
5,5,5,1,g,natural,practice,max_max,1,False,0,layer_8,2,channel_0,min_max,True,1,4.3361871242523184,False,b,b,../stimuli_ablation_study_September_2_stimuli/batch_block_g/channel/sampled_trials/layer_8/kernel_size_2/channel_0/natural_images/batch_0/min_0.png,../stimuli_ablation_study_September_2_stimuli/batch_block_g/channel/sampled_trials/layer_8/kernel_size_2/channel_0/natural_images/batch_0/max_1.png,,,42,"5b, 5x5 ",Max-1,1,5,expert
6,5,6,2,a,optimized,main,max_max,1,False,4,layer_4,3,channel_0,max_min,True,-3,2.698650360107422,False,a,a,../stimuli_ablation_study_September_2_stimuli/batch_block_a/channel/sampled_trials/layer_4/kernel_size_3/channel_0/natural_images/batch_4/max_1.png,../stimuli_ablation_study_September_2_stimuli/batch_block_a/channel/sampled_trials/layer_4/kernel_size_3/channel_0/natural_images/batch_4/min_0.png,,,42,"4c, P ",Max-1,3,5,expert
7,5,7,2,a,optimized,main,max_max,1,False,4,layer_6,3,channel_0,max_min,True,-2,2.6787612438201904,False,a,a,../stimuli_ablation_study_September_2_stimuli/batch_block_a/channel/sampled_trials/layer_6/kernel_size_3/channel_0/natural_images/batch_4/max_1.png,../stimuli_ablation_study_September_2_stimuli/batch_block_a/channel/sampled_trials/layer_6/kernel_size_3/channel_0/natural_images/batch_4/min_0.png,,,42,"4e, P ",Max-1,2,5,expert
8,5,8,2,a,optimized,main,max_max,1,False,4,layer_6,1,channel_0,min_max,True,3,2.986955165863037,False,b,b,../stimuli_ablation_study_September_2_stimuli/batch_block_a/channel/sampled_trials/layer_6/kernel_size_1/channel_0/natural_images/batch_4/min_0.png,../stimuli_ablation_study_September_2_stimuli/batch_block_a/channel/sampled_trials/layer_6/kernel_size_1/channel_0/natural_images/batch_4/max_1.png,,,42,"4e, 3x3 ",Max-1,3,5,expert
9,5,9,2,a,optimized,main,max_max,1,False,4,layer_4,2,channel_0,max_min,False,1,6.302778244018555,False,b,a,../stimuli_ablation_study_September_2_stimuli/batch_block_a/channel/sampled_trials/layer_4/kernel_size_2/channel_0/natural_images/batch_4/max_1.png,../stimuli_ablation_study_September_2_stimuli/batch_block_a/channel/sampled_trials/layer_4/kernel_size_2/channel_0/natural_images/batch_4/min_0.png,,,42,"4c, 5x5 ",Max-1,1,5,expert
10,5,10,2,a,optimized,main,max_max,1,False,4,layer_2,0,channel_0,max_min,False,1,4.453266143798828,False,b,a,../stimuli_ablation_study_September_2_stimuli/batch_block_a/channel/sampled_trials/layer_2/kernel_size_0/channel_0/natural_images/batch_4/max_1.png,../stimuli_ablation_study_September_2_stimuli/batch_block_a/channel/sampled_trials/layer_2/kernel_size_0/channel_0/natural_images/batch_4/min_0.png,,,42,"4a, 1x1 ",Max-1,1,5,expert
11,5,11,2,a,optimized,main,max_max,1,False,4,layer_0,3,channel_0,min_max,True,2,6.546192169189452,False,b,b,../stimuli_ablation_study_September_2_stimuli/batch_block_a/channel/sampled_trials/layer_0/kernel_size_3/channel_0/natural_images/batch_4/min_0.png,../stimuli_ablation_study_September_2_stimuli/batch_block_a/channel/sampled_trials/layer_0/kernel_size_3/channel_0/natural_images/batch_4/max_1.png,,,42,"3a, P ",Max-1,2,5,expert
12,5,12,2,e,optimized,main,max_max,1,True,0,layer_0,3,channel_0,min_max,True,3,2.670257091522217,False,b,b,../stimuli_ablation_study_September_2_stimuli/batch_block_e/channel/sampled_trials/layer_0/kernel_size_3/channel_0/optimized_images/min_0.png,../stimuli_ablation_study_September_2_stimuli/batch_block_e/channel/sampled_trials/layer_0/kernel_size_3/channel_0/optimized_images/max_0.png,,,42,"3a, P ",Max-1,3,5,expert
