,subject_id_within_expert_type,trial_nr,block_nr,instr_type,trial_type,catch_trial,batch,layer,kernel_size,channel,query_order,correct,conf_rating,RT,timeout,response,correct_response,query_image_a,query_image_b,old_trial_nr,old_block_nr,seed,unit_name,abs_conf_rating,subject_id
0,5,0,0,none_pre,practice,False,0,layer_r,r,channel_r,max_min,True,-1,5.6607067584991455,False,a,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_r/kernel_size_r/channel_r/natural_images/batch_0/max_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_r/kernel_size_r/channel_r/natural_images/batch_0/min_0.png,,,42,"layer_r, r ",1,5
1,5,1,0,none_pre,practice,False,0,layer_n,n,channel_n,min_max,False,-1,2.1288127899169917,False,a,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_n/kernel_size_n/channel_n/natural_images/batch_0/min_0.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_n/kernel_size_n/channel_n/natural_images/batch_0/max_9.png,,,42,"layer_n, n ",1,5
2,5,2,0,none_pre,practice,False,0,layer_o,o,channel_o,max_min,True,-1,17.839367866516113,False,a,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_o/kernel_size_o/channel_o/natural_images/batch_0/max_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_o/kernel_size_o/channel_o/natural_images/batch_0/min_0.png,,,42,"layer_o, o ",1,5
3,5,3,0,none_pre,practice,False,0,layer_q,q,channel_q,min_max,False,-2,1.5870466232299805,False,a,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_q/kernel_size_q/channel_q/natural_images/batch_0/min_0.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_q/kernel_size_q/channel_q/natural_images/batch_0/max_9.png,,,42,"layer_q, q ",2,5
4,5,4,0,none_pre,practice,False,0,layer_p,p,channel_p,max_min,True,-2,2.530878782272339,False,a,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_p/kernel_size_p/channel_p/natural_images/batch_0/max_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_p/kernel_size_p/channel_p/natural_images/batch_0/min_0.png,,,42,"layer_p, p ",2,5
5,5,5,1,none_pre,main,False,5,layer_3,3,channel_1,min_max,False,-3,2.3061978816986084,False,a,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_3/kernel_size_3/channel_1/natural_images/batch_5/min_0.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_3/kernel_size_3/channel_1/natural_images/batch_5/max_9.png,,,42,"4b, P int.",3,5
6,5,6,1,none_pre,main,False,5,layer_5,0,channel_0,min_max,False,-2,4.228471755981444,False,a,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_5/kernel_size_0/channel_0/natural_images/batch_5/min_0.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_5/kernel_size_0/channel_0/natural_images/batch_5/max_9.png,,,42,"4d, 1x1 ",2,5
7,5,7,1,none_pre,main,False,5,layer_5,3,channel_1,min_max,True,2,2.3531758785247803,False,b,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_5/kernel_size_3/channel_1/natural_images/batch_5/min_0.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_5/kernel_size_3/channel_1/natural_images/batch_5/max_9.png,,,42,"4d, P int.",2,5
8,5,8,1,none_pre,main,False,5,layer_7,0,channel_0,min_max,False,-2,2.5383739471435547,False,a,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_7/kernel_size_0/channel_0/natural_images/batch_5/min_0.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_7/kernel_size_0/channel_0/natural_images/batch_5/max_9.png,,,42,"5a, 1x1 ",2,5
9,5,9,1,none_pre,main,False,5,layer_6,0,channel_0,max_min,True,-2,0.6932859420776367,False,a,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_6/kernel_size_0/channel_0/natural_images/batch_5/max_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_6/kernel_size_0/channel_0/natural_images/batch_5/min_0.png,,,42,"4e, 1x1 ",2,5
10,5,10,1,none_pre,main,False,5,layer_2,1,channel_0,max_min,False,2,0.9042687416076659,False,b,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_2/kernel_size_1/channel_0/natural_images/batch_5/max_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_2/kernel_size_1/channel_0/natural_images/batch_5/min_0.png,,,42,"4a, 3x3 ",2,5
11,5,11,1,none_pre,main,False,5,layer_2,2,channel_0,min_max,True,2,1.4636716842651367,False,b,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_2/kernel_size_2/channel_0/natural_images/batch_5/min_0.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_2/kernel_size_2/channel_0/natural_images/batch_5/max_9.png,,,42,"4a, 5x5 ",2,5
12,5,12,1,none_pre,main,False,5,layer_2,0,channel_0,max_min,False,2,2.4223878383636475,False,b,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_2/kernel_size_0/channel_0/natural_images/batch_5/max_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_2/kernel_size_0/channel_0/natural_images/batch_5/min_0.png,,,42,"4a, 1x1 ",2,5
13,5,13,1,none_pre,main,False,5,layer_8,3,channel_0,min_max,False,-2,1.9119219779968264,False,a,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_8/kernel_size_3/channel_0/natural_images/batch_5/min_0.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_8/kernel_size_3/channel_0/natural_images/batch_5/max_9.png,,,42,"5b, P ",2,5
14,5,14,1,none_pre,main,False,5,layer_6,1,channel_0,max_min,False,2,3.1307158470153813,False,b,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_6/kernel_size_1/channel_0/natural_images/batch_5/max_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_6/kernel_size_1/channel_0/natural_images/batch_5/min_0.png,,,42,"4e, 3x3 ",2,5
15,5,15,1,none_pre,main,False,5,layer_2,3,channel_0,max_min,False,2,1.0551137924194336,False,b,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_2/kernel_size_3/channel_0/natural_images/batch_5/max_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_2/kernel_size_3/channel_0/natural_images/batch_5/min_0.png,,,42,"4a, P ",2,5
16,5,16,1,none_pre,main,False,5,layer_3,0,channel_0,min_max,False,-2,4.321016788482666,False,a,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_3/kernel_size_0/channel_0/natural_images/batch_5/min_0.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_3/kernel_size_0/channel_0/natural_images/batch_5/max_9.png,,,42,"4b, 1x1 ",2,5
17,5,17,2,none_pre,main,False,5,layer_2,3,channel_1,max_min,False,2,1.432555913925171,False,b,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_2/kernel_size_3/channel_1/natural_images/batch_5/max_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_2/kernel_size_3/channel_1/natural_images/batch_5/min_0.png,,,42,"4a, P int.",2,5
18,5,18,2,none_pre,main,False,5,layer_0,3,channel_1,min_max,False,-2,2.0638349056243896,False,a,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_0/kernel_size_3/channel_1/natural_images/batch_5/min_0.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_0/kernel_size_3/channel_1/natural_images/batch_5/max_9.png,,,42,"3a, P int.",2,5
19,5,19,2,none_pre,main,False,5,layer_1,0,channel_0,min_max,True,2,1.7092087268829346,False,b,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_1/kernel_size_0/channel_0/natural_images/batch_5/min_0.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_1/kernel_size_0/channel_0/natural_images/batch_5/max_9.png,,,42,"3b, 1x1 ",2,5
20,5,20,2,none_pre,main,False,5,layer_4,2,channel_0,min_max,False,-2,1.019542932510376,False,a,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_4/kernel_size_2/channel_0/natural_images/batch_5/min_0.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_4/kernel_size_2/channel_0/natural_images/batch_5/max_9.png,,,42,"4c, 5x5 ",2,5
21,5,21,2,none_pre,main,False,5,layer_4,3,channel_1,min_max,False,-2,0.8449447154998779,False,a,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_4/kernel_size_3/channel_1/natural_images/batch_5/min_0.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_4/kernel_size_3/channel_1/natural_images/batch_5/max_9.png,,,42,"4c, P int.",2,5
22,5,22,2,none_pre,main,False,5,layer_0,0,channel_0,min_max,False,-2,2.537685871124268,False,a,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_0/kernel_size_0/channel_0/natural_images/batch_5/min_0.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_0/kernel_size_0/channel_0/natural_images/batch_5/max_9.png,,,42,"3a, 1x1 ",2,5
23,5,23,2,none_pre,main,False,5,layer_6,3,channel_1,max_min,False,2,0.9452078342437744,False,b,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_6/kernel_size_3/channel_1/natural_images/batch_5/max_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_6/kernel_size_3/channel_1/natural_images/batch_5/min_0.png,,,42,"4e, P int.",2,5
24,5,24,2,none_pre,main,False,5,layer_0,2,channel_0,min_max,True,2,0.286005973815918,False,b,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_0/kernel_size_2/channel_0/natural_images/batch_5/min_0.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_0/kernel_size_2/channel_0/natural_images/batch_5/max_9.png,,,42,"3a, 5x5 ",2,5
