encoding in folder structure - correspondence in InceptionV1
layer_number,kernel_size_number,channel_number,layer_name,pre_post_relu,kernel_size,feature_map_number
0,0,0,mixed3a,pre_relu,1x1,25
0,1,0,mixed3a,pre_relu,3x3,189
0,2,0,mixed3a,pre_relu,5x5,197
0,3,0,mixed3a,pre_relu,pool,227
0,3,1,mixed3a,pre_relu,pool,230
1,0,0,mixed3b,pre_relu,1x1,64
1,1,0,mixed3b,pre_relu,3x3,178
1,2,0,mixed3b,pre_relu,5x5,390
1,3,0,mixed3b,pre_relu,pool,430
1,3,1,mixed3b,pre_relu,pool,462
2,0,0,mixed4a,pre_relu,1x1,68
2,1,0,mixed4a,pre_relu,3x3,257
2,2,0,mixed4a,pre_relu,5x5,427
2,3,0,mixed4a,pre_relu,pool,486
2,3,1,mixed4a,pre_relu,pool,501
3,0,0,mixed4b,pre_relu,1x1,45
3,1,0,mixed4b,pre_relu,3x3,339
3,2,0,mixed4b,pre_relu,5x5,438
3,3,0,mixed4b,pre_relu,pool,491
3,3,1,mixed4b,pre_relu,pool,465
4,0,0,mixed4c,pre_relu,1x1,94
4,1,0,mixed4c,pre_relu,3x3,247
4,2,0,mixed4c,pre_relu,5x5,432
4,3,0,mixed4c,pre_relu,pool,496
4,3,1,mixed4c,pre_relu,pool,449
5,0,0,mixed4d,pre_relu,1x1,95
5,1,0,mixed4d,pre_relu,3x3,342
5,2,0,mixed4d,pre_relu,5x5,451
5,3,0,mixed4d,pre_relu,pool,483
5,3,1,mixed4d,pre_relu,pool,516
6,0,0,mixed4e,pre_relu,1x1,231
6,1,0,mixed4e,pre_relu,3x3,524
6,2,0,mixed4e,pre_relu,5x5,656
6,3,0,mixed4e,pre_relu,pool,816
6,3,1,mixed4e,pre_relu,pool,809
7,0,0,mixed5a,pre_relu,1x1,229
7,1,0,mixed5a,pre_relu,3x3,278
7,2,0,mixed5a,pre_relu,5x5,636
7,3,0,mixed5a,pre_relu,pool,743
7,3,1,mixed5a,pre_relu,pool,720
8,0,0,mixed5b,pre_relu,1x1,119
8,1,0,mixed5b,pre_relu,3x3,684
8,2,0,mixed5b,pre_relu,5x5,844
8,3,0,mixed5b,pre_relu,pool,1007
8,3,1,mixed5b,pre_relu,pool,946
