encoding in folder structure - correspondence in InceptionV1
layer_number,kernel_size_number,channel_number,layer_name,pre_post_relu,kernel_size,feature_map_number
0,0,0,mixed3a,pre_relu,1x1,53
0,1,0,mixed3a,pre_relu,3x3,106
0,2,0,mixed3a,pre_relu,5x5,204
0,3,0,mixed3a,pre_relu,pool,247
2,0,0,mixed4a,pre_relu,1x1,17
2,1,0,mixed4a,pre_relu,3x3,200
2,2,0,mixed4a,pre_relu,5x5,423
2,3,0,mixed4a,pre_relu,pool,506
4,0,0,mixed4c,pre_relu,1x1,95
4,1,0,mixed4c,pre_relu,3x3,209
4,2,0,mixed4c,pre_relu,5x5,416
4,3,0,mixed4c,pre_relu,pool,497
6,0,0,mixed4e,pre_relu,1x1,89
6,1,0,mixed4e,pre_relu,3x3,373
6,2,0,mixed4e,pre_relu,5x5,620
6,3,0,mixed4e,pre_relu,pool,783
8,0,0,mixed5b,pre_relu,1x1,300
8,1,0,mixed5b,pre_relu,3x3,481
8,2,0,mixed5b,pre_relu,5x5,875
8,3,0,mixed5b,pre_relu,pool,903
