encoding in folder structure - correspondence in InceptionV1
layer_number,kernel_size_number,channel_number,layer_name,pre_post_relu,kernel_size,feature_map_number
0,0,0,mixed3a,pre_relu,1x1,59
0,1,0,mixed3a,pre_relu,3x3,139
0,2,0,mixed3a,pre_relu,5x5,221
0,3,0,mixed3a,pre_relu,pool,239
2,0,0,mixed4a,pre_relu,1x1,8
2,1,0,mixed4a,pre_relu,3x3,195
2,2,0,mixed4a,pre_relu,5x5,422
2,3,0,mixed4a,pre_relu,pool,476
4,0,0,mixed4c,pre_relu,1x1,112
4,1,0,mixed4c,pre_relu,3x3,198
4,2,0,mixed4c,pre_relu,5x5,384
4,3,0,mixed4c,pre_relu,pool,506
6,0,0,mixed4e,pre_relu,1x1,187
6,1,0,mixed4e,pre_relu,3x3,440
6,2,0,mixed4e,pre_relu,5x5,597
6,3,0,mixed4e,pre_relu,pool,760
8,0,0,mixed5b,pre_relu,1x1,206
8,1,0,mixed5b,pre_relu,3x3,484
8,2,0,mixed5b,pre_relu,5x5,794
8,3,0,mixed5b,pre_relu,pool,929
