encoding in folder structure - correspondence in InceptionV1
layer_number,kernel_size_number,channel_number,layer_name,pre_post_relu,kernel_size,feature_map_number
0,0,0,mixed3a,pre_relu,1x1,15
0,1,0,mixed3a,pre_relu,3x3,178
0,2,0,mixed3a,pre_relu,5x5,196
0,3,0,mixed3a,pre_relu,pool,233
2,0,0,mixed4a,pre_relu,1x1,49
2,1,0,mixed4a,pre_relu,3x3,235
2,2,0,mixed4a,pre_relu,5x5,401
2,3,0,mixed4a,pre_relu,pool,501
4,0,0,mixed4c,pre_relu,1x1,81
4,1,0,mixed4c,pre_relu,3x3,374
4,2,0,mixed4c,pre_relu,5x5,434
4,3,0,mixed4c,pre_relu,pool,499
6,0,0,mixed4e,pre_relu,1x1,204
6,1,0,mixed4e,pre_relu,3x3,291
6,2,0,mixed4e,pre_relu,5x5,660
6,3,0,mixed4e,pre_relu,pool,765
8,0,0,mixed5b,pre_relu,1x1,271
8,1,0,mixed5b,pre_relu,3x3,559
8,2,0,mixed5b,pre_relu,5x5,863
8,3,0,mixed5b,pre_relu,pool,918
